id,tipo,numero,anio,fecha,titulo,paginas,chars_texto,pdf_local,inicio
1075,resolucion,100,2025,2025-08-14,SUBDIRECCIÓN DE TECNOLOGÍAS,2,5665,pdfs/resolucion/2025/resolucion_2025_0100.pdf,"SUBDIRECCIÓN DE TECNOLOGÍAS 
DE LA INFORMACIÓN 
GE00333636 
ACREDITA Y AUTORIZA AL CONTRIBUYENTE 
QUE INDICA PARA ACTUAR COMO PRESTADOR 
DE SERVICIOS DE CERTIFICACIÓN DIGITAL DE 
IDENTIDADES 
Y 
EMITIR 
CERTIFICADOS 
DIGITALES DE USO Y PAGO TRIBUTARIO. 
SANTIAGO, 14 DE AGOSTO DE 2025. 
RESOLUCIÓN EX"
1173,resolucion,199,2025,2025-12-23,SUBDIRECCIÓN DE AVALUACIONES,4,10754,pdfs/resolucion/2025/resolucion_2025_0199.pdf,"SUBDIRECCIÓN DE AVALUACIONES 
OFICINA DE PROYECTOS 
GE00354947 
MATERIA: Autoriza acceso a los Servicios de 
Interoperabilidad Cartografía Digital “SII-MAPAS” a 
la Ilustre Municipalidad de Licantén. 
 
SANTIAGO, 23 DE DICIEMBRE DE 2025 
 
 
RESOLUCIÓN EX. SII N°199.- 
 
VISTOS: Lo dispuesto en el a"
1010,resolucion,35,2025,2025-03-20,SUBDIRECCIÓN DE ASISTENCIA AL CONTRIBUYENTE,4,10674,pdfs/resolucion/2025/resolucion_2025_0035.pdf,"SUBDIRECCIÓN DE ASISTENCIA AL CONTRIBUYENTE 
GE00317586 
MATERIA: Autoriza acceso a los Servicios de 
Interoperabilidad Cartografía Digital “SII-MAPAS” a la 
Ilustre Municipalidad de El Quisco. 
 
 
SANTIAGO, 20 DE MARZO DE 2025 
 
 
RESOLUCIÓN EXENTA SII N°35.- 
 
VISTOS: Lo dispuesto en el artícul"
